lambda_LM,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
1.0,0.0729075,1593.0805461282966,1671.9126228508023,0.9532004175855545,1.385191546934684,1.2477531208010217,1.4552855838658116,0.34756010385093883,0.000359375,0.402,1.236767991625363,1.7836354312651757,1.4435072708474512,1672.2893192155532,1777.681818799223,1381.5391699303789,0.40392994232652596,0.42210971471663894,0.8136701056640722,0.9977855372955565,2992.9355176860154,0.027012847753430203,109.86581611060231,49.55086171706785,0.06474545885993209,0.08941207629222384,0.05642746523258001,0.07205300252092643,0.013019985873827397,0.0051697503188621215,0.044097991025669185,0.06459190941462206,0.1061771454075962,0.07407592343299675,99.88614465104564,118.16546258202854,70.79356610583005,0.012256636888559833,0.05101104939635319,0.04257444346078585,0.00017818728976419555,629.0555025053286
2.0,0.0717925,1525.4983958761802,1706.2158200788526,0.8943425423813209,1.3987418814061994,1.4154096937331553,1.5656024708861032,0.308493266105661,0.000296875,0.40321874999999996,1.326872604157197,1.9250785550084715,1.4525312397538992,1707.195733634724,1790.6209140372157,1359.7122375626257,0.4940036914402346,0.33156211846018424,0.7556772085258728,0.9964514522902347,3693.308180460475,0.02523756017823433,97.73294957464314,46.566960450938886,0.056097010213732694,0.08477311124638007,0.06727051579298311,0.06742730532850631,0.010346815192532947,0.0026163828053966027,0.042538941259009956,0.06740879427829846,0.08553771520227234,0.06008823496449114,101.9575596445557,115.59946648535409,63.34290445271653,0.012511632725403427,0.0428482955110108,0.039789849796629355,0.00027571381915441674,1053.8273798599123
1.0,0.07211499999999998,1592.7105513205834,1673.7555133111332,0.9516518041956314,1.3857466388612487,1.2479555191400837,1.457842944058268,0.3479234054578146,0.000609375,0.403671875,1.236215290909035,1.7914400823544838,1.45105713771247,1670.118225981599,1776.4519031049851,1378.6226988711878,0.43634402488590013,0.42028474769171664,0.821430304003261,0.9979830526446533,3240.3287617108585,0.021305674713559274,104.99000828436961,39.41725411319939,0.059701887049446616,0.08197219403618437,0.058844560385749214,0.06340251655512694,0.010911073031459342,0.004913286156878613,0.03889204999398174,0.06375236584397435,0.08557941540425432,0.06988058457157041,92.61274271471505,107.50542751436726,58.82075918829648,0.019146295662126812,0.05133871724400975,0.04211224405833852,0.0001630452385802643,811.7255683872232
8.0,0.07259750000000001,1486.6102534858157,1731.7964429035887,0.8591727322731719,1.3554056224246238,1.48945848722092,1.5803294294432968,0.2691404373563644,0.00103125,0.368203125,1.3341135500034529,1.951470815921158,1.4641852392002772,1733.3676226723355,1804.6481580752506,1353.237057731232,0.5913181615105636,0.30382608599841976,0.7006426265245826,0.993342393125467,3071.8457959759958,0.03733243219708567,126.65300798765529,69.51026630573261,0.0738078945621978,0.11096455063628864,0.08001119847094047,0.08549648601596108,0.009983368017275332,0.006458324932790236,0.04470818740996301,0.07940777381279256,0.10530174250080414,0.05338760944989539,144.5348755611077,161.79547857736338,83.30295243697486,0.03665092748119994,0.040193613415102636,0.03822548455895416,0.0007370603014922831,863.1792960860234
10.0,0.067305,1480.3072805809102,1744.281367612133,0.8490278624958135,1.3399381760874887,1.495350169778218,1.579545086114901,0.2608863480360845,0.0,0.37018749999999995,1.327759508833625,1.959510772510305,1.4767994857238784,1742.6984278732991,1805.5993790668965,1357.0482455883525,0.5857226378082461,0.3017749510924192,0.6957355010121269,0.993455203864703,3121.6887649454184,0.02605584339452475,83.21350786216496,48.52812741891956,0.048304795840585404,0.07486956022920195,0.0629839023903042,0.06334758061774469,0.009491362585797202,0.0,0.03642581287699699,0.05912006081493878,0.08277483015093236,0.04980115062220061,100.82684513040897,110.7011974851518,59.87229827247572,0.040067638770991953,0.03102874420515547,0.02843603229040677,0.000686267776550231,562.9775820531033
10.0,0.0691475,1490.0674867807072,1741.63390849653,0.8560399972606938,1.344634911992979,1.4885308092922775,1.5730494044751577,0.25995895589213397,0.00042187500000000005,0.364296875,1.3260264478651056,1.9459786048696426,1.4688490803186736,1739.179364274415,1803.5254325472574,1363.5837728035578,0.5661769972581214,0.30344576629763276,0.6918498601694614,0.9931107397964907,3816.4073676108596,0.029392953981354084,100.66072465426305,54.13449310498152,0.058867835717778004,0.08362053495355223,0.07066864517123612,0.07210987508497689,0.010087077840163092,0.007520658397665396,0.04007066207319733,0.06832764227953081,0.09162726967969,0.05444098828265507,113.00023347378578,124.40285372214373,66.62386708795658,0.03843497726738224,0.04047904186989782,0.029224818742332726,0.0007752291006665357,757.4955590428195
1.0,0.073585,1585.966264644768,1675.1596484282695,0.9472136966548785,1.4005907650544354,1.2715693217494874,1.4816734754345129,0.34622327685076904,0.0009687500000000002,0.403125,1.261146208036675,1.813006851557958,1.4385317073506911,1674.4878846199904,1778.8651992843404,1374.0371605755292,0.43317999016915065,0.409809308062342,0.7881597723253208,0.9979041737256433,3209.006983035974,0.026674946579140497,115.97207052570627,50.06338378501919,0.06954966748781259,0.08765534776547118,0.06996803089981707,0.0754754162204042,0.012546844141679118,0.006467995125036815,0.04424717505106965,0.0664996399700667,0.1080148527815274,0.06597192489894398,106.05845934888522,120.50869516561568,66.27379490405839,0.012544823984754434,0.051623672627918754,0.043280643251854316,0.0001526341589811798,788.566537542411
10.0,0.068595,1472.4252619294375,1744.4447627733507,0.8445658874612166,1.3370664955591562,1.4973312854801089,1.5850692190214306,0.26206357699946176,0.0001875,0.366984375,1.3333008318334294,1.9649970839331732,1.4749617754004012,1746.3859185815509,1810.8489811676275,1354.2744171374527,0.575242621660849,0.2978336711656279,0.682789514328888,0.9930347399311583,2596.0788717851156,0.02935108132590687,99.95197245059751,56.33214725010738,0.05822235581820372,0.08722126198013806,0.0685967735221813,0.07032609551274395,0.011114462373983402,0.002201739369226067,0.03943333662156139,0.06600003436334115,0.08874560918192062,0.05110879096091592,115.57675826684876,128.67023886874236,70.43354063713026,0.03003679109397934,0.032943307807865585,0.03346578242460695,0.0008022890409206347,638.1761638699605
5.0,0.06865,1487.8806222849373,1735.7853192901657,0.857495902252901,1.3630840506485402,1.490567272948802,1.5907860008106507,0.2733748896310217,0.00028125000000000003,0.3800625,1.3406155240726858,1.9677411174797441,1.468396655933614,1731.0787598729155,1798.217215688604,1355.9053833738521,0.5386648326732844,0.29989658957463755,0.7064026761815738,0.9940800112283056,2753.9522338996358,0.02394310965601584,78.99027044606851,44.88266200197847,0.04597552515716321,0.07164666589002737,0.056634237618527886,0.05900989712790878,0.00943170561482657,0.0031435387602986547,0.03690618384837424,0.05220145561952447,0.08397680746681642,0.04939181491787028,91.62314486526184,100.60054381148298,53.741657536768585,0.02151480248983277,0.03117927273687629,0.029619359270601192,0.0006537139414741377,529.8442203178374
2.0,0.0748975,1554.7947266827791,1693.0494921873587,0.9189418917151128,1.3885943873150517,1.3608602838914918,1.5134117865493275,0.3153394300716418,0.0009687499999999999,0.39584374999999994,1.2859670716331315,1.8560458414702325,1.4449334220644738,1693.5471607162158,1784.398837326793,1373.8926734468241,0.45858507061325887,0.36860536268593,0.7654950409559936,0.9967344280766368,3314.052717662015,0.032573255805184706,123.13525609168785,61.576615471219235,0.07283929400281029,0.10208479254203993,0.06415705093123901,0.07218480579717976,0.010430282106192833,0.006376761398821506,0.045728809556312526,0.06969827212957726,0.09298576562461726,0.061238575732096456,128.12089828575554,147.46037384967323,76.83506817278717,0.025602349000569756,0.0452017623136668,0.04180067550234991,0.0002116046725056088,925.5474704232483
