sigma_w,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
0.35,0.07458749999999999,1515.301713750476,1727.57942837874,0.8773794236472137,1.4157504411098603,1.499419388530511,1.6147214013204074,0.2519516739003255,0.00043750000000000006,0.391484375,1.3600715662552034,1.9997976271353428,1.4713744848820758,1726.3014057001956,1790.5422915241202,1386.9840510856332,0.5003396344707381,0.26584563414888335,0.7423664384349958,0.9944695429356075,4054.7779454742067,0.024520243549973137,80.46695889486992,45.79875338965623,0.04554197666796518,0.06940285446957967,0.05385153128418274,0.0529951262398268,0.009191050007195025,0.0048214203042257165,0.03937058196940166,0.05254217490824761,0.0686785043752116,0.047884105210909265,91.31167657099286,101.05709839658003,53.52311144329282,0.01749464592046993,0.02792115906213662,0.02774560664984311,0.0005407675709565319,683.5229842909448
0.45,0.0700875,1512.367712425326,1707.2705679031933,0.8862255222709234,1.3373032907406577,1.3738631282011924,1.5115450326921296,0.3258893622984456,0.000515625,0.38671875,1.2823299157929557,1.8559182357411914,1.4491145504410057,1710.8379451772894,1804.7843277826707,1344.2052297114383,0.5175764835375254,0.3847118265324835,0.7318285491677904,0.996073033193544,2970.214008374202,0.03369539796099757,133.19445853839684,62.311090797058924,0.07569213983414852,0.11148925619806156,0.07653983931306893,0.08467468243495761,0.012704213265053825,0.004077825659512065,0.04579991087259341,0.08034789483569794,0.10923974653327347,0.06547052298180824,135.73531453511626,156.4319625252933,81.24421102105055,0.018437802582384356,0.05381947015933385,0.040601130210112454,0.00038744726830876124,567.8184175005321
0.375,0.07468999999999999,1501.5078496739036,1723.4312085358945,0.871580704558586,1.3990923144048097,1.48804271370278,1.6068154730869884,0.2696939705993419,0.000484375,0.38959374999999996,1.356838715121799,1.9840852948998053,1.4631997640759267,1728.5106954758912,1797.7208614580024,1370.0578081578951,0.5230160683294152,0.2865404949573484,0.7228718763192137,0.9948459308272917,3424.852170852871,0.02804262648184009,95.00633185951723,52.78103161912553,0.054113700717291956,0.08274212866161397,0.05830938698307636,0.06488387631247157,0.009084926511305042,0.004599141181718061,0.03997693426761862,0.059937949989027274,0.08703030660155647,0.05125998248925267,107.49849076794843,118.51078388608103,59.00013552623509,0.024875770339190483,0.037206727109291265,0.03342183270674895,0.0005125327076824331,879.9299109239784
0.425,0.06980750000000001,1497.6795307438356,1718.7814098097795,0.8718016997286316,1.3566696911087042,1.4354346758466319,1.5574773035119138,0.3043199070640464,0.00059375,0.39078125,1.3194720291477615,1.9160029729264776,1.4532988953915038,1721.6085346544469,1803.325257336527,1348.1786592833537,0.5289152282944943,0.33889263233341427,0.7225961841963274,0.9960896619204982,3164.7340978717616,0.03097071913517668,102.84950210441272,57.759871694186444,0.05903166640951738,0.0943645669028389,0.061743309523095743,0.06859210911361323,0.010545407604171816,0.005195306625936528,0.04362901799189961,0.06426360964747843,0.09225025943826151,0.0587430442749016,117.55211037393111,133.55651103657382,72.84843330492598,0.018590564558085845,0.03652461287104557,0.038319466940901,0.0004098851482261489,460.0140007912031
0.35,0.07460499999999999,1500.5933189283198,1728.4523928735453,0.8683061089985213,1.4092398227297123,1.509283209758682,1.6236725725359198,0.25044407498711196,0.000125,0.3878281250000001,1.3711071621444046,2.0049273031274257,1.4630827848922803,1730.2152308307145,1792.8768686532796,1377.8585730197012,0.5289849456760762,0.26273230721104196,0.723752434440361,0.9947559235713213,3302.1288708434545,0.02343830145296368,72.85924730739224,44.794963263506915,0.038738447321083454,0.06056839448283086,0.04046057322028409,0.04360409825934049,0.008095575456537288,0.001707062535468458,0.03816838911631423,0.043066418827902964,0.06414273034994644,0.049583873051183516,81.293090623389,90.4854246808851,53.7434512754245,0.01590223518306628,0.023896942549645778,0.024613047632614935,0.0004503853712148504,493.22276062452613
0.45,0.06818250000000001,1505.2694674536315,1711.7086965523565,0.8798451504281347,1.3528102886365678,1.4087040711669183,1.539368018559067,0.3214500566969481,0.000140625,0.3887343750000001,1.3059834832794268,1.891277825360356,1.4499113201991767,1712.398801975387,1800.1742579998327,1343.7337921593542,0.5251623175386911,0.3590666446895978,0.7245837936463054,0.9956625768844806,3021.4744411403058,0.031327451121181224,117.58022829633222,58.29767185433083,0.06767535219454095,0.10634336655166093,0.07479965097410037,0.07946106119596864,0.012596659333159005,0.001617696930631631,0.043773874624133687,0.07617069350407185,0.10102311401078859,0.06273870899369464,123.40478796395213,139.22734922924926,75.38644414432662,0.016646018419411244,0.04259803056866359,0.04035006732356371,0.00033530087513584147,751.3818393294735
0.4,0.0731475,1543.412924796029,1713.2572157611553,0.901462535952694,1.3920785020007036,1.421994150621386,1.5468075452381387,0.2909224496377044,0.00109375,0.38465625000000003,1.3131522763033456,1.8988388125046112,1.4471577007478016,1711.7850100068545,1792.7539171022584,1377.8436276183972,0.4903075809191145,0.33328610333234066,0.73798984875703,0.9951414367010102,3756.558542647362,0.03289681966011303,125.31380876913985,60.03666401113329,0.07379108407857032,0.10567900709063816,0.07145253953508188,0.07720339229488264,0.010849538825871299,0.007027776920015319,0.04107109641752336,0.07046421092837489,0.10408292216715238,0.05966533263535712,131.0213189267248,147.51612461487542,73.73080285631048,0.03329526298046951,0.04346507455581819,0.03990977536120698,0.00035424590285521246,1357.0498031778095
0.4,0.07185,1527.9669661888288,1714.9394050841424,0.8913763775538766,1.3863692736580484,1.4378338911800155,1.5574354289032601,0.2887029342285544,0.00042187500000000005,0.38885937500000006,1.320625760768958,1.9138058882395337,1.4502829709805545,1718.5521492160622,1796.0876257622667,1372.2152259187674,0.4798265679898634,0.32791719520184254,0.7357849369696416,0.995261625622552,3524.8750008123834,0.02873721454838654,107.3987628838562,53.55827511561555,0.0621445215330194,0.08950888692110555,0.06279113032868867,0.06985140713183254,0.010810058912094713,0.00379114794414238,0.03961740549757613,0.06488032656048148,0.09323326155385453,0.055704809556556226,107.46637457022258,119.9067404393589,66.2215752441476,0.017752206720404125,0.041856513329615375,0.036061130383423505,0.00046100466999028346,902.929944291386
0.4,0.07171999999999999,1529.3286758071447,1720.2697951163243,0.8893777224887361,1.393350001724394,1.4471590571018549,1.568270554915211,0.28762815832648875,0.000359375,0.39139062499999994,1.3314940980603343,1.9249067484419584,1.4468097868882794,1717.2959636543453,1794.6143070266396,1373.4256835021724,0.4728584598610314,0.3236189117703422,0.722009124494307,0.9951019230626597,3914.1151851548198,0.028888520211322682,102.49777096822002,53.580423061266245,0.05866633450216252,0.08944941201123453,0.06467454916626644,0.06786848651402518,0.010633953291847215,0.004694551987077681,0.041438958189840815,0.06431487660744802,0.08808003564924581,0.05243549366074887,110.50931933414802,123.21369258087736,65.97028223858962,0.019586059400583115,0.0386558823890478,0.03298210931835433,0.0005100952108441048,1035.1876780748091
0.425,0.0693575,1497.3733535809472,1718.6229252694566,0.8715715801157385,1.350877411511808,1.4266044432236624,1.5514695805026408,0.30449470556159425,0.00034375000000000003,0.3950156249999999,1.3110133237598118,1.913439751193706,1.4606435907964337,1716.8408075279358,1796.848871106655,1344.9624455199344,0.528114591895128,0.34478392683578546,0.7396013932206256,0.9952309182518918,3345.674035980123,0.029473627088466715,102.58053640797002,54.95270495857727,0.057711719730317385,0.090189247011811,0.06553118186185802,0.07041457748802973,0.011807530406724106,0.004428137129482329,0.04423679788489866,0.06509813151341301,0.09389068425240404,0.056599579094245366,110.87525221382298,126.16198199238997,68.49252450393539,0.024203247940586686,0.03973377459128743,0.035935725390341434,0.00040286136651971943,1098.5066360879594
0.425,0.0727525,1524.1931988127862,1710.4033565703214,0.8918361568527934,1.3659450477043544,1.4083274151889527,1.534273786985588,0.3087686344617653,0.001203125,0.387,1.3006512639782608,1.886463420411497,1.4514336166887474,1708.9488698291661,1795.364590952046,1357.8754810728985,0.5055098425761265,0.3567397172054281,0.7343388104955892,0.9958008562245401,3009.427535832708,0.03644675902943908,129.85741331269566,68.36729426579647,0.07588415743156302,0.11263661800197662,0.07943188888913762,0.08616794087988917,0.013092598474903242,0.009991097111147254,0.047148618086853826,0.07691645249847989,0.11225756694305865,0.05641285231733321,139.14729520656422,159.54947763163392,82.76535474445228,0.020804919336420553,0.04632681781167233,0.043714458140139585,0.00032175734949632103,541.2095218733721
0.375,0.0742,1523.1119528827082,1721.068281433576,0.8852708343060889,1.411347475661455,1.4730596225175032,1.5960094414535881,0.271506676737053,0.00048437499999999994,0.39046875,1.3466085873259452,1.9726018376360241,1.465498085251109,1712.930194914254,1782.872395468884,1376.731128614851,0.5082125127636389,0.2910320639913217,0.7377275823583105,0.9949324535556017,3219.1553274872144,0.028446880321047488,101.1215179916461,52.8787643214174,0.05676562223956167,0.08370757989108846,0.05825906920111794,0.06436506463429487,0.009694232189583048,0.005612812317312508,0.04111691362368411,0.056725234013420535,0.09092929373137136,0.05101692853307639,107.71432700487152,119.44592573717537,65.9009014712872,0.016356508818997483,0.03772928378387801,0.03489669109105329,0.00047718133320122087,907.3038622430624
0.45,0.0674675,1509.833268434617,1711.8574757665876,0.882499546772151,1.3472029962933465,1.3918808568729322,1.5288190791734855,0.32514243847812885,0.00043750000000000006,0.38803125,1.2967555368626662,1.8788179115513848,1.4499052687784093,1711.487887122081,1803.031154966143,1341.9803341522447,0.5095477505115038,0.3768229437337621,0.7119859751975435,0.9954916717341133,2603.693911512077,0.031177699462115526,126.86263763176777,58.578665501726,0.07391100945455766,0.11247690502560292,0.07042062246535714,0.0827067234132507,0.012288503613884337,0.0035360862899539085,0.04572026655037676,0.07137639796257772,0.11665832319506735,0.06827206851000399,136.42857219134197,156.54060598318185,79.15193409996374,0.017788741620065943,0.04957012435229967,0.04088989908860519,0.00042451752484180366,611.7615411586164
0.45,0.06863000000000001,1523.3419614731217,1709.0912791510048,0.8919082671805204,1.337370281214494,1.3717549326276792,1.5026965141954423,0.32360006046491746,0.0006406249999999999,0.389375,1.27563242885757,1.8450674938056042,1.4480885999748756,1708.693563249437,1799.7203052486302,1353.6127640850798,0.4748101209023223,0.3916274481640039,0.7251062175114068,0.9958683037380031,2906.6236032903857,0.033247753307554466,136.14915021208103,62.29107051924308,0.07947495615457724,0.11042356963602037,0.07934513261957155,0.08686556016119511,0.01205134677884085,0.005217884471639344,0.0450715576888574,0.08058633374093521,0.11206225683140582,0.06589137113794602,137.02574822136293,155.95806205436685,84.7383635324411,0.02879637827751311,0.05339379859824503,0.04330352808235112,0.0003706040902877757,764.9773470771847
0.425,0.06979500000000001,1503.3546733674873,1715.3583195556805,0.8768859710460876,1.3506923217181208,1.4181922509261695,1.5426484309295447,0.3047474653414375,0.000296875,0.38581249999999995,1.3021300978123238,1.90507758084927,1.4640978417831536,1719.4550193633265,1800.968114496544,1352.709203657069,0.5161934654833032,0.3466339143827394,0.7346179511267767,0.995567533006762,2975.0638150402856,0.03163728773140957,113.63464694203213,58.42545345220041,0.06576152434071485,0.09914003953021881,0.07500191928620396,0.08157098420119221,0.012398068937895506,0.0038285714025436445,0.043408083564585066,0.07321112085375546,0.10835004857703631,0.05771954951871526,123.87354351567913,139.3691409839513,75.58809952433138,0.02231624648412528,0.048395186637211866,0.03830735118602125,0.00038949422351096104,793.0122239622212
0.35,0.07533249999999998,1517.8670377301598,1727.941904335028,0.8786995194272765,1.4207801373569953,1.5000630972800257,1.618206703278216,0.25196013739848416,0.00029687500000000005,0.38715625000000004,1.3621812273022216,2.005897113513264,1.4732436374324807,1727.4629289350205,1791.464686060978,1388.3713050863175,0.4999789617430394,0.2647543198438384,0.7319035977535221,0.9946075113723175,3665.1417506511298,0.0267250246725798,83.02446104792475,49.69013954075955,0.0464645519943573,0.06775748568571337,0.0540700330231236,0.05379712019708702,0.009207485596612809,0.003249060861906868,0.03772172730585783,0.04975397392717013,0.07404857148892484,0.045748030600968624,91.52388958293399,101.758649719519,56.46042260342428,0.01704458764603554,0.028394366513022688,0.028526577539759016,0.0005582141156000375,701.145232424448
0.375,0.0745875,1529.7912646081281,1719.941028626425,0.8897994414108777,1.406922393184405,1.464470619715582,1.582717599954022,0.27226261088275694,0.0007499999999999998,0.386,1.339169078153874,1.9502879506788269,1.4572184171971407,1712.7476032012542,1786.098405077996,1377.5559049864398,0.5128685963769859,0.3030079597390831,0.7269303930814401,0.9954013179054764,3867.161780699553,0.0303356612545367,99.4065961454707,55.99616478656129,0.05596485813011482,0.08282232742097764,0.05775303179347804,0.06164536311591407,0.010015222580722044,0.005678908345800274,0.04047201965555957,0.05665740412103402,0.0858919823974126,0.05397796514007785,106.55044797132614,118.83212008072678,63.85898693759742,0.02212416657174539,0.034870170582164496,0.03155590708703123,0.00043704723265830417,1423.7650809835034
0.35,0.0756075,1514.4110595553893,1724.2606501422329,0.8785490930890951,1.4168353409330523,1.4949710630596968,1.6140131434565617,0.25260041259499993,0.000234375,0.38998437499999994,1.3601233617855357,1.997808894702214,1.469536208450808,1724.1327602102115,1788.0942156617807,1382.762964389535,0.5084261912185375,0.2684318471784784,0.7451019267837569,0.9946935773154817,4696.651175642295,0.022671092689810945,81.2292958365669,43.47408131968651,0.04663350119425496,0.0663264810125218,0.04857627097621427,0.0506645390700354,0.008811483094880853,0.002622720364311643,0.03472238884508632,0.0471543507432421,0.07132394047824772,0.04667237940351847,86.5111339909117,94.69189146727298,51.126469581452454,0.022807606349978343,0.028450521271257252,0.032621040784197496,0.0005538324426202946,728.0369020139225
0.375,0.074305,1501.0957004860463,1722.1093597820188,0.8719714439921584,1.3895689329575454,1.4798801800015315,1.5951039597371153,0.2698328260419325,0.00034375000000000003,0.390015625,1.3455881440137076,1.9706698344934386,1.4653014106515159,1719.8914695896747,1788.5460365862923,1365.4879319886948,0.5241123708430289,0.2934432930494564,0.7430793286811251,0.9949606285969631,3254.5475997327976,0.029642570317028837,102.07048858971804,54.77060639840161,0.05720715259256604,0.08653656086870531,0.05666110643416594,0.06262120035031898,0.010469741853056382,0.003654914285930657,0.04220045807937841,0.05661823291491268,0.08701883842505553,0.0512067204352673,108.87581019838132,120.44606903680771,65.36804887879293,0.026775852708969084,0.03589453862910513,0.036931472634170556,0.0005181612532764006,820.956195346437
